Date,Close/Last,Volume,Open,High,Low
10/10/2019,1.82,N/A,1.82,1.82,1.82
10/11/2019,1.82,N/A,1.82,1.82,1.82
10/14/2019,1.82,N/A,1.82,1.82,1.82
10/15/2019,1.9,N/A,1.9,1.9,1.9
10/16/2019,1.9,N/A,1.9,1.9,1.9
10/17/2019,1.85,N/A,1.85,1.85,1.85
10/18/2019,1.85,N/A,1.85,1.85,1.85
10/21/2019,1.85,N/A,1.85,1.85,1.85
10/22/2019,1.85,N/A,1.85,1.85,1.85
10/23/2019,1.85,N/A,1.85,1.85,1.85
10/24/2019,1.85,N/A,1.85,1.85,1.85
10/25/2019,1.83,N/A,1.83,1.83,1.83
10/28/2019,1.83,N/A,1.83,1.83,1.83
10/29/2019,1.82,N/A,1.82,1.82,1.82
10/30/2019,1.82,N/A,1.82,1.82,1.82
10/31/2019,1.58,N/A,1.58,1.58,1.58
11/1/2019,1.57,N/A,1.57,1.57,1.57
11/4/2019,1.56,N/A,1.56,1.56,1.56
11/5/2019,1.56,N/A,1.56,1.56,1.56
11/6/2019,1.55,N/A,1.55,1.55,1.55
11/7/2019,1.55,N/A,1.55,1.55,1.55
11/8/2019,1.55,N/A,1.55,1.55,1.55
11/11/2019,1.55,N/A,1.55,1.55,1.55
11/12/2019,1.55,N/A,1.55,1.55,1.55
11/13/2019,1.55,N/A,1.55,1.55,1.55
11/14/2019,1.55,N/A,1.55,1.55,1.55
11/15/2019,1.55,N/A,1.55,1.55,1.55
11/18/2019,1.55,N/A,1.55,1.55,1.55
11/19/2019,1.55,N/A,1.55,1.55,1.55
11/20/2019,1.55,N/A,1.55,1.55,1.55
11/21/2019,1.55,N/A,1.55,1.55,1.55
11/22/2019,1.55,N/A,1.55,1.55,1.55
11/25/2019,1.55,N/A,1.55,1.55,1.55
11/26/2019,1.55,N/A,1.55,1.55,1.55
11/27/2019,1.55,N/A,1.55,1.55,1.55
11/28/2019,1.55,N/A,1.55,1.55,1.55
11/29/2019,1.56,N/A,1.56,1.56,1.56
12/2/2019,1.56,N/A,1.56,1.56,1.56
12/3/2019,1.55,N/A,1.55,1.55,1.55
12/4/2019,1.55,N/A,1.55,1.55,1.55
12/5/2019,1.55,N/A,1.55,1.55,1.55
12/6/2019,1.55,N/A,1.55,1.55,1.55
12/9/2019,1.55,N/A,1.55,1.55,1.55
12/10/2019,1.55,N/A,1.55,1.55,1.55
12/11/2019,1.55,N/A,1.55,1.55,1.55
12/12/2019,1.55,N/A,1.55,1.55,1.55
12/13/2019,1.55,N/A,1.55,1.55,1.55
