Date,Price,Open,High,Low,Vol.,Change %
1/3/2022,"15,832.80","15,732.50","15,832.80","15,644.09",871.65M,1.20%
1/4/2022,"15,622.72","15,852.14","15,852.14","15,512.41",970.70M,-1.33%
1/5/2022,"15,100.17","15,547.16","15,586.30","15,095.18",1.01B,-3.34%
1/6/2022,"15,080.86","15,024.15","15,198.45","14,914.87",951.12M,-0.13%
1/7/2022,"14,935.90","15,095.72","15,171.02","14,877.63",852.53M,-0.96%
1/10/2022,"14,942.83","14,751.78","14,953.85","14,530.23",1.09B,0.05%
1/11/2022,"15,153.45","14,919.26","15,158.71","14,837.64",863.02M,1.41%
1/12/2022,"15,188.39","15,263.10","15,319.03","15,117.29",840.02M,0.23%
1/13/2022,"14,806.81","15,245.04","15,259.71","14,782.24",852.15M,-2.51%
1/14/2022,"14,893.75","14,708.02","14,897.67","14,689.43",872.56M,0.59%
1/18/2022,"14,506.90","14,681.83","14,740.54","14,482.94",1.06B,-2.60%
1/19/2022,"14,340.25","14,582.22","14,658.89","14,331.65",935.06M,-1.15%
1/20/2022,"14,154.02","14,462.85","14,642.03","14,140.78",1.02B,-1.30%
1/21/2022,"13,768.92","14,046.22","14,171.72","13,764.24",1.32B,-2.72%
1/24/2022,"13,855.13","13,481.50","13,876.61","13,094.65",1.55B,0.63%
1/25/2022,"13,539.30","13,610.87","13,781.62","13,414.14",1.04B,-2.28%
1/26/2022,"13,542.12","13,871.77","14,002.65","13,392.19",1.18B,0.02%
1/27/2022,"13,352.78","13,710.99","13,765.91","13,322.66",1.07B,-1.40%
1/28/2022,"13,770.57","13,436.71","13,771.91","13,236.56",1.06B,3.13%
1/31/2022,"14,239.88","13,812.19","14,242.90","13,767.71",1.24B,3.41%
2/1/2022,"14,346.00","14,277.43","14,358.69","14,070.77",962.00M,0.75%
2/2/2022,"14,417.55","14,494.47","14,504.82","14,264.65",1.00B,0.50%
2/3/2022,"13,878.82","14,045.83","14,207.89","13,851.75",945.51M,-3.74%
2/4/2022,"14,098.01","13,958.48","14,222.76","13,850.39",862.97M,1.58%
2/7/2022,"14,015.67","14,118.79","14,236.31","13,974.10",858.02M,-0.58%
2/8/2022,"14,194.45","13,984.43","14,226.48","13,934.78",865.50M,1.28%
2/9/2022,"14,490.37","14,368.16","14,490.72","14,330.87",935.01M,2.08%
2/10/2022,"14,185.64","14,228.68","14,509.56","14,118.20",1.06B,-2.10%
2/11/2022,"13,791.15","14,213.62","14,246.70","13,733.16",1.08B,-2.78%
2/14/2022,"13,790.92","13,768.97","13,921.71","13,664.76",936.80M,0.00%
2/15/2022,"14,139.76","13,997.18","14,142.49","13,976.29",903.09M,2.53%
2/16/2022,"14,124.09","14,038.92","14,163.73","13,931.99",838.99M,-0.11%
2/17/2022,"13,716.72","14,004.19","14,020.82","13,704.70",922.82M,-2.88%
2/18/2022,"13,548.07","13,735.40","13,762.40","13,465.56",1.02B,-1.23%
2/22/2022,"13,381.52","13,424.36","13,618.72","13,249.65",1.02B,-1.23%
2/23/2022,"13,037.49","13,511.75","13,533.78","13,032.17",944.40M,-2.57%
2/24/2022,"13,473.58","12,587.88","13,486.11","12,587.88",1.38B,3.34%
2/25/2022,"13,694.62","13,485.26","13,696.86","13,358.29",978.45M,1.64%
2/28/2022,"13,751.40","13,570.83","13,810.64","13,549.90",1.39B,0.41%
3/1/2022,"13,532.46","13,716.70","13,777.04","13,441.32",1.24B,-1.59%
3/2/2022,"13,752.02","13,597.53","13,796.55","13,493.91",1.03B,1.62%
3/3/2022,"13,537.94","13,837.59","13,837.59","13,472.64",1.03B,-1.56%
3/4/2022,"13,313.44","13,455.23","13,486.71","13,224.98",1.04B,-1.66%
3/7/2022,"12,830.96","13,328.36","13,353.28","12,828.02",1.29B,-3.62%
3/8/2022,"12,795.55","12,800.04","13,159.44","12,670.08",1.34B,-0.28%
3/9/2022,"13,255.55","13,113.70","13,301.16","13,039.79",1.12B,3.59%
3/10/2022,"13,129.96","13,098.35","13,163.50","12,946.28",961.59M,-0.95%
3/11/2022,"12,843.81","13,229.77","13,239.35","12,830.37",1.02B,-2.18%
3/14/2022,"12,581.22","12,795.12","12,918.01","12,555.35",1.21B,-2.04%
3/15/2022,"12,948.62","12,685.23","12,973.88","12,616.59",1.13B,2.92%
3/16/2022,"13,436.55","13,119.36","13,440.12","12,992.20",1.41B,3.77%
3/17/2022,"13,614.78","13,360.72","13,620.80","13,317.14",1.14B,1.33%
3/18/2022,"13,893.84","13,564.63","13,899.28","13,528.06",2.85B,2.05%
3/21/2022,"13,838.46","13,860.39","13,945.81","13,682.55",1.14B,-0.40%
3/22/2022,"14,108.82","13,866.43","14,141.07","13,857.29",1.10B,1.95%
3/23/2022,"13,922.60","13,990.35","14,152.14","13,921.65",961.73M,-1.32%
3/24/2022,"14,191.84","14,001.32","14,193.55","13,897.20",916.74M,1.93%
3/25/2022,"14,169.30","14,194.72","14,218.76","14,010.79",941.78M,-0.16%
3/28/2022,"14,354.90","14,177.21","14,356.00","14,101.34",892.94M,1.31%
3/29/2022,"14,619.64","14,500.39","14,646.90","14,419.40",1.09B,1.84%
3/30/2022,"14,442.27","14,558.59","14,609.25","14,383.45",1.01B,-1.21%
3/31/2022,"14,220.52","14,444.78","14,456.74","14,217.73",1.10B,-1.54%
4/1/2022,"14,261.50","14,269.53","14,306.94","14,131.81",1.02B,0.29%
4/4/2022,"14,532.55","14,304.35","14,534.38","14,286.45",915.41M,1.90%
4/5/2022,"14,204.17","14,490.26","14,500.29","14,169.12",930.40M,-2.26%
4/6/2022,"13,888.82","14,002.58","14,032.84","13,788.90",1.09B,-2.22%
4/7/2022,"13,897.30","13,861.49","13,978.25","13,689.23",931.35M,0.06%
4/8/2022,"13,711.00","13,830.47","13,866.06","13,693.69",858.45M,-1.34%
4/11/2022,"13,411.96","13,547.29","13,585.08","13,401.39",991.30M,-2.18%
4/12/2022,"13,371.57","13,584.69","13,685.95","13,317.74",902.42M,-0.30%
4/13/2022,"13,643.59","13,373.12","13,679.43","13,353.66",910.79M,2.03%
4/14/2022,"13,351.08","13,647.42","13,662.93","13,345.22",927.38M,-2.14%
4/18/2022,"13,332.36","13,319.39","13,414.27","13,222.03",832.41M,-0.14%
4/19/2022,"13,619.66","13,312.44","13,643.97","13,281.22",855.29M,2.15%
4/20/2022,"13,453.07","13,665.38","13,678.55","13,426.12",871.26M,-1.22%
4/21/2022,"13,174.65","13,623.70","13,710.69","13,140.83",993.83M,-2.07%
4/22/2022,"12,839.29","13,168.80","13,212.60","12,828.02",950.70M,-2.55%
4/25/2022,"13,004.85","12,749.17","13,011.45","12,722.59",988.04M,1.29%
4/26/2022,"12,490.74","12,918.04","12,918.04","12,490.74",1.02B,-3.95%
4/27/2022,"12,488.93","12,500.88","12,703.79","12,430.90",942.84M,-0.01%
4/28/2022,"12,871.53","12,712.86","12,948.52","12,487.86",1.01B,3.06%
4/29/2022,"12,334.64","12,710.42","12,861.83","12,315.74",1.09B,-4.17%
5/2/2022,"12,536.02","12,331.69","12,542.54","12,202.41",1.04B,1.63%
5/3/2022,"12,563.76","12,511.46","12,645.83","12,460.99",897.83M,0.22%
5/4/2022,"12,964.86","12,574.73","12,985.01","12,367.02",1.11B,3.19%
5/5/2022,"12,317.69","12,787.52","12,787.52","12,183.56",1.10B,-4.99%
5/6/2022,"12,144.66","12,246.83","12,358.42","11,990.15",1.09B,-1.40%
5/9/2022,"11,623.25","11,923.03","11,990.61","11,574.94",1.24B,-4.29%
5/10/2022,"11,737.67","11,900.34","11,944.94","11,566.28",1.28B,0.98%
5/11/2022,"11,364.24","11,645.57","11,844.50","11,339.18",1.27B,-3.18%
5/12/2022,"11,370.96","11,199.25","11,547.33","11,108.76",1.40B,0.06%
5/13/2022,"11,805.00","11,555.98","11,856.71","11,510.25",1.23B,3.82%
5/16/2022,"11,662.79","11,727.14","11,804.59","11,627.53",978.06M,-1.20%
5/17/2022,"11,984.52","11,905.57","11,988.43","11,754.28",1.02B,2.76%
5/18/2022,"11,418.15","11,790.68","11,826.22","11,381.69",1.03B,-4.73%
5/19/2022,"11,388.50","11,364.40","11,562.82","11,313.31",1.05B,-0.26%
5/20/2022,"11,354.62","11,542.67","11,552.21","11,035.69",1.20B,-0.30%
5/23/2022,"11,535.27","11,396.28","11,552.07","11,304.56",889.21M,1.59%
5/24/2022,"11,264.45","11,326.44","11,351.61","11,092.48",924.23M,-2.35%
