"Date","Price","Open","High","Low","Vol.","Change %"
"01/03/2022","96.211","95.600","96.330","95.600","16.79K","0.65%"
"01/04/2022","96.274","96.195","96.475","96.040","12.98K","0.07%"
"01/05/2022","96.182","96.330","96.335","95.885","18.72K","-0.10%"
"01/06/2022","96.326","96.210","96.400","96.035","14.33K","0.15%"
"01/07/2022","95.722","96.250","96.275","95.705","22.94K","-0.63%"
"01/10/2022","95.990","95.740","96.230","95.735","14.98K","0.28%"
"01/11/2022","95.625","95.905","96.075","95.575","14.22K","-0.38%"
"01/12/2022","94.901","95.585","95.690","94.890","28.21K","-0.76%"
"01/13/2022","94.775","94.975","95.010","94.635","20.14K","-0.13%"
"01/14/2022","95.161","94.830","95.255","94.610","19.21K","0.41%"
"01/17/2022","95.161","95.155","95.335","95.030","9.31K","0.00%"
"01/18/2022","95.723","95.150","95.810","95.105","24.08K","0.59%"
"01/19/2022","95.500","95.715","95.775","95.470","17.30K","-0.23%"
"01/20/2022","95.725","95.530","95.850","95.405","19.14K","0.24%"
"01/21/2022","95.636","95.795","95.835","95.485","13.74K","-0.09%"
"01/24/2022","95.901","95.675","96.130","95.625","20.38K","0.28%"
"01/25/2022","95.928","95.915","96.260","95.895","16.02K","0.03%"
"01/26/2022","96.400","95.950","96.535","95.900","23.31K","0.49%"
"01/27/2022","97.242","96.530","97.300","96.530","24.20K","0.87%"
"01/28/2022","97.266","97.220","97.440","97.050","22.33K","0.02%"
"01/31/2022","96.537","97.220","97.300","96.510","21.12K","-0.75%"
"02/01/2022","96.375","96.695","96.715","96.215","20.90K","-0.17%"
"02/02/2022","95.935","96.270","96.300","95.795","21.52K","-0.46%"
"02/03/2022","95.379","96.060","96.250","95.230","38.80K","-0.58%"
"02/04/2022","95.480","95.305","95.695","95.145","26.52K","0.11%"
"02/07/2022","95.392","95.415","95.620","95.340","16.24K","-0.09%"
"02/08/2022","95.641","95.420","95.745","95.390","16.55K","0.26%"
"02/09/2022","95.494","95.630","95.665","95.375","17.66K","-0.15%"
"02/10/2022","95.548","95.595","96.010","95.160","43.97K","0.06%"
"02/11/2022","96.073","95.850","96.135","95.630","33.61K","0.55%"
"02/14/2022","96.356","96.010","96.430","95.910","32.84K","0.29%"
"02/15/2022","95.993","96.230","96.290","95.950","22.73K","-0.38%"
"02/16/2022","95.697","95.980","96.055","95.665","17.17K","-0.31%"
"02/17/2022","95.803","95.805","96.115","95.680","34.05K","0.11%"
"02/18/2022","96.022","95.835","96.175","95.725","18.09K","0.23%"
"02/21/2022","96.020","96.120","96.145","95.650","22.84K","0.00%"
"02/22/2022","96.011","96.120","96.250","95.830","20.09K","-0.01%"
"02/23/2022","96.188","96.005","96.240","95.835","19.87K","0.18%"
"02/24/2022","97.118","96.255","97.735","96.255","53.31K","0.97%"
"02/25/2022","96.619","97.040","97.225","96.510","33.08K","-0.51%"
"02/28/2022","96.694","97.230","97.400","96.610","30.60K","0.08%"
"03/01/2022","97.406","96.810","97.575","96.625","28.47K","0.74%"
"03/02/2022","97.414","97.405","97.850","97.295","29.37K","0.01%"
"03/03/2022","97.791","97.480","97.965","97.440","21.77K","0.39%"
"03/04/2022","98.671","98.065","98.945","97.840","29.68K","0.90%"
"03/07/2022","99.295","98.635","99.425","98.625","52.82K","0.63%"
"03/08/2022","99.080","99.250","99.330","98.700","41.67K","-0.22%"
"03/09/2022","97.953","99.015","99.085","97.850","42.71K","-1.14%"
"03/10/2022","98.504","98.100","98.605","97.710","29.24K","0.56%"
"03/11/2022","99.130","98.470","99.155","98.260","13.65K","0.64%"
"03/14/2022","98.879","98.980","99.255","98.740","0.16K","-0.25%"
"03/15/2022","99.064","99.085","99.180","98.600","20.63K","0.19%"
"03/16/2022","98.621","98.910","99.100","98.295","23.70K","-0.45%"
"03/17/2022","97.975","98.455","98.480","97.715","18.55K","-0.66%"
"03/18/2022","98.227","97.980","98.635","97.845","13.96K","0.26%"
"03/21/2022","98.499","98.245","98.540","98.160","10.84K","0.28%"
"03/22/2022","98.523","98.495","98.960","98.315","16.05K","0.02%"
"03/23/2022","98.615","98.540","98.895","98.425","10.35K","0.09%"
"03/24/2022","98.800","98.630","98.965","98.600","16.48K","0.19%"
